Vector Index,Description of Data,Data Type if available
0,health,Int
1,health_max,Int
2,health_max_real,Int
3,mana_points,Int
4,mana_points_max,Int
5,mana_points_real,Int
6,AC,Int
7,EV,Int
8,SH,Int
9,Str,Int
10,Int,Int
11,Dex,Int
12,XL,Int
13,Experience until next level,0-100 percentage
14,God,Int
15,Piety Level,Int
16,Spell slots left,Int
17,gold,Int
18,rFire,Int
19,rCold,Int
20,rNeg,Int
21,rPois,Int
22,rElec,Int
23,rCorr,Int
24,MR,Int
25,Stealth,Int
26,HPRegen per turn,Float
27,MPRegen per turn,Float
28,See invisible,Boolean
29,Gourmand,Boolean
30,Faith,Boolean
31,Spirit,Boolean
32,Reflect,Boolean
33,Harm,Boolean
34,game turns,Float
35,game time,Float
36,attack speed,Int
37,movement speed,Int
38,Agile status effect,Boolean
39,Antimagic status effect,Boolean
40,Augmentation status effect,Boolean
41,Bad Forms status effect,Boolean
42,Berserk status effect,Boolean
43,Black Mark status effect,Boolean
44,Blind status effect,Boolean
45,Brilliant status effect,Boolean
46,Charm status effect,Boolean
47,Confusing Touch status effect,Boolean
48,Confusion status effect,Boolean
49,Constriction status effect,Boolean
50,Cooldowns status effect,Boolean
51,Corona status effect,Boolean
52,Corrosion status effect,Boolean
53,Darkness status effect,Boolean
54,Dazed status effect,Boolean
55,Death Channel status effect,Boolean
56,Death's Door status effect,Boolean
57,Deflect Missiles status effect,Boolean
58,Disjunction status effect,Boolean
59,Divine Protection status effect,Boolean
60,Divine Shield status effect,Boolean
61,Doom Howl status effect,Boolean
62,Drain status effect,Boolean
63,Engorged status effect,Boolean
64,Engulf status effect,Boolean
65,Fast+Slow status effect,Boolean
66,Fear status effect,Boolean
67,Finesse status effect,Boolean
68,Fire Vulnerable status effect,Boolean
69,Flayed status effect,Boolean
70,Flight status effect,Boolean
71,Frozen status effect,Boolean
72,Haste status effect,Boolean
73,Heavenly Storm status effect,Boolean
74,Held status effect,Boolean
75,Heroism status effect,Boolean
76,Horrified status effect,Boolean
77,Inner Flame status effect,Boolean
78,Invisibility status effect,Boolean
79,Lava status effect,Boolean
80,Leda's Liquefaction status effect,Boolean
81,Leda's Liquefaction status effect,Boolean
82,Magic Contamination status effect,Boolean
83,Mark status effect,Boolean
84,Mesmerised status effect,Boolean
85,Might status effect,Boolean
86,Mirror Damage status effect,Boolean
87,No Potions status effect,Boolean
88,No Scrolls status effect,Boolean
89,Olgreb's Toxic Radiance status effect,Boolean
90,Orb status effect,Boolean
91,Ozocubu's Armour status effect,Boolean
92,Paralysis status effect,Boolean
93,Petrifying/Petrified status effect,Boolean
94,Poison status effect,Boolean
95,Powered by Death status effect,Boolean
96,Quad Damage status effect,Boolean
97,Recall status effect,Boolean
98,Regenerating status effect,Boolean
99,Repel Missiles status effect,Boolean
100,Resistance status effect,Boolean
101,Ring of Flames status effect,Boolean
102,Sapped Magic status effect,Boolean
103,Scrying status effect,Boolean
104,Searing Ray status effect,Boolean
105,Serpent's Lash status effect,Boolean
106,Shroud of Golubria status effect,Boolean
107,Sickness status effect,Boolean
108,Silence status effect,Boolean
109,Silence status effect,Boolean
110,Sleep status effect,Boolean
111,Slimify status effect,Boolean
112,Slow status effect,Boolean
113,Sluggish status effect,Boolean
114,Starving status effect,Boolean
115,Stat Zero status effect,Boolean
116,Sticky Flame status effect,Boolean
117,Still Winds status effect,Boolean
118,Swiftness status effect,Boolean
119,Teleport Prevention status effect,Boolean
120,Teleport status effect,Boolean
121,Tornado status effect,Boolean
122,Transmutations status effect,Boolean
123,Umbra status effect,Boolean
124,Vitalisation status effect,Boolean
125,Vulnerable status effect,Boolean
126,Water status effect,Boolean
127,Weak status effect,Boolean
128,Acute Vision mutation,Boolean
129,Antennae mutation,Boolean
130,Beak mutation,Boolean
131,Big Wings mutation,Boolean
132,Blink mutation,Boolean
133,Camouflage mutation,Boolean
134,Clarity mutation,Boolean
135,Claws mutation,Boolean
136,Cold Resistance mutation,Boolean
137,Electricity Resistance mutation,Boolean
138,Evolution mutation,Boolean
139,Fangs mutation,Boolean
140,Fire Resistance mutation,Boolean
141,High MP mutation,Boolean
142,Hooves mutation,Boolean
143,Horns mutation,Boolean
144,Icy Blue Scales mutation,Boolean
145,Improved Attributes mutation,Boolean
146,Iridescent Scales mutation,Boolean
147,Large Bone Plates mutation,Boolean
148,Magic Resistance mutation,Boolean
149,Molten Scales mutation,Boolean
150,Mutation Resistance mutation,Boolean
151,Passive Mapping mutation,Boolean
152,Poison Breath mutation,Boolean
153,Poison Resistance mutation,Boolean
154,Regeneration mutation,Boolean
155,Repulsion Field mutation,Boolean
156,Robust mutation,Boolean
157,Rugged Brown Scales mutation,Boolean
158,Shaggy Fur mutation,Boolean
159,Slimy Green Scales mutation,Boolean
160,Stinger mutation,Boolean
161,Strong Legs mutation,Boolean
162,Talons mutation,Boolean
163,Tentacle Spike mutation,Boolean
164,Thin Metallic Scales mutation,Boolean
165,Thin Skeletal Structure mutation,Boolean
166,Tough Skin mutation,Boolean
167,Wild Magic mutation,Boolean
168,Yellow Scales mutation,Boolean
169,"Player place (Dungeon, Vaults, etc.)",ID repr. Place
